occ,recs
retired                            ,1691184
,728446
student                            ,365560
homemaker                          ,274224
teacher                            ,270914
unemployed                         ,234878
housewife                          ,171331
sales                              ,162415
manager                            ,152072
self employed                      ,112100
laborer                            ,111306
disabled                           ,107197
engineer                           ,98799
labor                              ,91955
nurse                              ,78960
truck driver                       ,78538
cashier                            ,74882
clerk                              ,73033
construction                       ,66043
cook                               ,62113
accountant                         ,61129
employee                           ,55790
customer service                   ,54853
driver                             ,53574
secretary                          ,53431
registered nurse                   ,52490
supervisor                         ,51396
mechanic                           ,51367
none                               ,50765
office manager                     ,39428
maintenance                        ,38443
military                           ,36729
home maker                         ,36507
electrician                        ,34439
rn                                 ,34366
retail                             ,33977
worker                             ,33526
cna                                ,32135
consultant                         ,31215
software engineer                  ,30596
carpenter                          ,29622
house wife                         ,29099
server                             ,26769
attorney                           ,26764
technician                         ,26701
receptionist                       ,26689
self-employed                      ,25814
clerical                           ,24545
project manager                    ,24151
waitress                           ,22867
machine operator                   ,22601
social worker                      ,21663
police officer                     ,21468
housekeeper                        ,20922
sales associate                    ,20426
bookkeeper                         ,20273
painter                            ,20193
welder                             ,20129
machinist                          ,19808
administrative assistant           ,19327
contractor                         ,18663
housekeeping                       ,18627
custodian                          ,18575
caregiver                          ,18428
banker                             ,18156
educator                           ,17941
security                           ,17766
food service                       ,17359
deceased                           ,16649
bus driver                         ,16270
operator                           ,16180
warehouse                          ,15734
hair stylist                       ,15141
sales manager                      ,14821
barber                             ,14803
administrator                      ,14506
customer service rep               ,14284
business owner                     ,14201
chef                               ,14066
medical assistant                  ,13765
production                         ,13573
plumber                            ,13499
realtor                            ,13356
pharmacist                         ,13321
sales rep                          ,12978
marketing                          ,12959
janitor                            ,12855
analyst                            ,12805
factory                            ,12759
salesman                           ,12242
professor                          ,12220
management                         ,11814
counselor                          ,11344
factory worker                     ,11312
selfemployed                       ,11085
accounting                         ,10994
assembler                          ,10965
bartender                          ,10679
lpn                                ,10675
retail sales                       ,10656
paralegal                          ,10621
minister                           ,10577
director                           ,10330
admin assistant                    ,10251
programmer                         ,10242
care giver                         ,9857
dental assistant                   ,9533
insurance agent                    ,9386
landscaping                        ,9262
security guard                     ,9236
child care                         ,9134
csr                                ,9111
firefighter                        ,8970
graphic designer                   ,8936
security officer                   ,8856
administrative                     ,8816
service                            ,8803
employed                           ,8731
store manager                      ,8692
assistant manager                  ,8565
tech                               ,8468
computer programmer                ,8388
stocker                            ,8387
physician                          ,8377
financial analyst                  ,8359
retail manager                     ,8336
bank teller                        ,8297
human resources                    ,8262
physical therapist                 ,8218
landscaper                         ,8212
admin asst                         ,8127
general manager                    ,7980
designer                           ,7945
operations manager                 ,7942
n/a                                ,7786
substitute teacher                 ,7634
sales clerk                        ,7611
librarian                          ,7520
artist                             ,7511
dispatcher                         ,7459
administration                     ,7455
business analyst                   ,7393
admin                              ,7384
banking                            ,7324
real estate                        ,7257
massage therapist                  ,7236
office                             ,7174
executive assistant                ,7117
correctional officer               ,7099
instructor                         ,7048
disable                            ,7044
account manager                    ,6951
executive                          ,6819
teller                             ,6818
pharmacy tech                      ,6773
general labor                      ,6766
legal assistant                    ,6746
musician                           ,6738
photographer                       ,6691
insurance                          ,6691
manufacturing                      ,6662
office assistant                   ,6651
waiter                             ,6573
self                               ,6566
auditor                            ,6541
program manager                    ,6527
legal secretary                    ,6514
systems analyst                    ,6422
architect                          ,6354
scientist                          ,6338
inspector                          ,6301
retired teacher                    ,6197
na                                 ,6196
software developer                 ,6195
beautician                         ,6123
civil engineer                     ,6117
foreman                            ,6077
disability                         ,6049
assistant                          ,6035
baker                              ,6031
cosmetologist                      ,5936
education                          ,5877
cleaning                           ,5872
health care                        ,5834
assembly                           ,5825
real estate agent                  ,5821
computer tech                      ,5792
buyer                              ,5777
general                            ,5732
it manager                         ,5721
courier                            ,5640
janitorial                         ,5605
